Tsteps,Tdistance,VeryActdis,MordActdis,LightActdis,VeryActmin,MordActmin,LightActmin,TminSleep,TminBed,minNoSleep,SedentaryHours,AvgCalories,avgCalories/1000,NoSleepH
916.13,0.63,0.10,0.03,0.51,1.32,0.03,38.58,6.95,7.30,20.80,21.96,2172.81,2.17,0.35
1853.72,1.19,0.02,0.06,1.10,0.97,0.06,91.79,7.26,7.56,18.13,17.67,1962.31,1.96,0.30
2267.23,1.63,0.14,0.13,1.31,5.19,0.13,76.94,5.82,6.33,30.38,20.62,2385.81,2.39,0.51
2519.69,1.81,0.71,0.38,0.71,11.00,0.38,40.15,5.83,6.15,19.33,21.66,2131.77,2.13,0.32
2580.06,1.71,0.01,0.05,1.65,0.13,0.05,115.45,10.87,16.02,309.00,20.11,1573.48,1.57,5.15
4716.87,3.19,0.11,0.10,2.98,1.35,0.10,198.19,1.02,1.15,8.00,20.33,1724.16,1.72,0.13
4796.55,3.25,0.52,0.08,2.64,6.61,0.08,209.10,6.42,6.95,31.64,13.83,2186.19,2.19,0.53
5566.87,3.45,0.01,0.01,3.44,0.10,0.01,256.65,8.44,8.96,31.46,11.49,1540.65,1.54,0.52
7046.71,5.34,0.13,0.08,4.84,1.57,0.08,288.36,7.98,8.50,31.39,13.27,2261.14,2.26,0.52
7268.84,4.89,0.28,0.50,3.77,3.58,0.50,228.77,7.94,8.37,25.31,12.26,2037.68,2.04,0.42
7282.97,5.30,0.73,0.95,3.61,9.57,0.95,178.47,4.90,5.77,52.00,19.36,2811.30,2.81,0.87
7685.13,5.08,0.55,0.68,3.85,10.39,0.68,284.97,2.13,2.33,12.40,18.23,2033.26,2.03,0.21
8304.43,6.21,3.11,0.66,2.43,87.33,0.66,147.93,7.20,7.68,28.62,12.57,3359.63,3.36,0.48
8572.06,6.96,0.42,1.30,5.23,5.13,1.30,237.48,6.96,7.30,20.74,12.77,2965.55,2.97,0.35
8612.58,5.64,1.46,0.67,3.50,23.42,0.67,206.19,7.72,8.43,42.39,11.14,1875.68,1.88,0.71
8717.71,6.91,2.50,0.52,3.89,58.68,0.52,156.10,7.42,8.10,40.81,,3436.58,3.44,0.68
9371.77,6.39,2.78,0.77,2.82,42.58,0.77,143.84,7.55,7.77,13.29,14.17,2566.35,2.57,0.22
9519.67,6.36,1.06,1.07,4.22,13.50,1.07,252.50,7.45,8.19,44.53,11.45,2043.44,2.04,0.74
9794.81,6.59,1.62,0.96,4.00,22.81,0.96,245.81,7.47,7.77,18.13,11.04,1982.03,1.98,0.30
10813.94,8.39,1.72,0.90,5.40,23.16,0.90,229.35,6.67,7.05,23.04,13.94,3093.87,3.09,0.38
10984.57,7.52,1.61,2.75,3.13,18.90,2.75,174.77,4.89,7.69,167.50,11.79,1513.67,1.51,2.79
11323.42,8.02,2.41,0.74,4.86,31.04,0.74,280.73,1.14,1.19,3.00,17.59,2544.00,2.54,0.05
12116.74,7.81,2.86,0.79,4.15,38.71,0.79,219.94,6.00,6.39,22.92,14.14,1816.42,1.82,0.38
14763.29,11.48,8.51,0.42,2.53,85.16,0.42,150.97,4.95,5.03,4.67,19.13,2945.81,2.95,0.08
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,42.48